2012-10-16 23:01:20 status half-installed bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 status unpacked bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 status unpacked bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 install busybox-initramfs:armhf <none> 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status half-installed busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 install coreutils:armhf <none> 8.13-3.2ubuntu2
2012-10-16 23:01:21 status half-installed coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 install cpio:armhf <none> 2.11-8ubuntu3
2012-10-16 23:01:21 status half-installed cpio:armhf 2.11-8ubuntu3
2012-10-16 23:01:21 status unpacked cpio:armhf 2.11-8ubuntu3
2012-10-16 23:01:21 status unpacked cpio:armhf 2.11-8ubuntu3
2012-10-16 23:01:21 install dash:armhf <none> 0.5.7-3ubuntu1
2012-10-16 23:01:21 status half-installed dash:armhf 0.5.7-3ubuntu1
2012-10-16 23:01:22 status unpacked dash:armhf 0.5.7-3ubuntu1
2012-10-16 23:01:22 status unpacked dash:armhf 0.5.7-3ubuntu1
2012-10-16 23:01:22 install debconf:all <none> 1.5.46ubuntu1
2012-10-16 23:01:22 status half-installed debconf:all 1.5.46ubuntu1
2012-10-16 23:01:22 status unpacked debconf:all 1.5.46ubuntu1
2012-10-16 23:01:22 status unpacked debconf:all 1.5.46ubuntu1
2012-10-16 23:01:22 install debianutils:armhf <none> 4.3.4
2012-10-16 23:01:22 status half-installed debianutils:armhf 4.3.4
2012-10-16 23:01:22 status unpacked debianutils:armhf 4.3.4
2012-10-16 23:01:22 status unpacked debianutils:armhf 4.3.4
2012-10-16 23:01:22 install diffutils:armhf <none> 1:3.2-6ubuntu1
2012-10-16 23:01:22 status half-installed diffutils:armhf 1:3.2-6ubuntu1
2012-10-16 23:01:22 status unpacked diffutils:armhf 1:3.2-6ubuntu1
2012-10-16 23:01:22 status unpacked diffutils:armhf 1:3.2-6ubuntu1
2012-10-16 23:01:22 upgrade dpkg:armhf 1.16.7ubuntu6 1.16.7ubuntu6
2012-10-16 23:01:22 status half-configured dpkg:armhf 1.16.7ubuntu6
2012-10-16 23:01:22 status unpacked dpkg:armhf 1.16.7ubuntu6
2012-10-16 23:01:22 status half-installed dpkg:armhf 1.16.7ubuntu6
